,date,username,tweet
85,2023-05-30 23:45:04+00:00,Agus19601598,"RT @kurusetra91: Jokowi yth, ap tdk lbh bgus anda ntral, biarkan rakyat yg mmilih ssuai keinginan mrk ?! anda ktakutan sndri ats dosa, ksal…"
86,2023-05-30 23:44:50+00:00,02fc71ba00c2451,RT @Naz_lira: Strategi politik memoles citra Gibran memang sudah diploting sejak pelantikan menjadi walikota Solo 2021 untuk tujuan Jurkam…
87,2023-05-30 23:44:31+00:00,RahmatLaba9,RT @satriohendri: Pak Jokowi cawe-cawe di Pilpres 2024 cuma karena penasaran? #Hensat https://t.co/WVmFkVlGxj
88,2023-05-30 23:44:24+00:00,musaquraisi7573,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
89,2023-05-30 23:44:23+00:00,nadrayanti,"RT @Been4Q59: .
.

JAGA DIRI, JANGAN MATI, SETELAH PILPRES ADA GALA DINNER 🤭

https://t.co/6pgjh9NpgN

Denny Indrayana Cawe-cawe https://t.…"
90,2023-05-30 23:44:17+00:00,aj_hanif,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
91,2023-05-30 23:44:05+00:00,misacavoex,"RT @democrazymedia: Sebut Pilpres 2024 Hanya Diikuti 2 Paslon, Rocky Gerung Ungkap CSIS Pernah Dapat Julukan ‘China Sekitar Istana’
https:/…"
92,2023-05-30 23:44:05+00:00,giginpraginanto,Memangnya dia pernah netral. https://t.co/nhc7tH7fzY
93,2023-05-30 23:44:00+00:00,sampalle,RT @PresidenKopi: Pramono anung baca berita ini gak ya???? https://t.co/3fBQ6gWkjW
94,2023-05-30 23:43:29+00:00,02fc71ba00c2451,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
95,2023-05-30 23:43:21+00:00,RamLee_N,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
96,2023-05-30 23:43:16+00:00,TolanAndi,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
97,2023-05-30 23:43:09+00:00,fazamutaqi0210,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
98,2023-05-30 23:43:03+00:00,Heru1010Heru,"RT @AndiSinulingga: 2014 kita dukung Jokowi mah biasa aja, tak ada yg krusial, itu game biasa saja. Rakyat sudah beri kepercayaan 2 kali, y…"
99,2023-05-30 23:43:01+00:00,silawwmen,"RT @KompasTV: Denny Indrayana: Anies Akan Gagal Maju di Pilpres 2024, Bila MA Menangkan PK Moeldoko ke Demokrat https://t.co/EtJRN6pb60"
100,2023-05-30 23:42:44+00:00,tachbiranto,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
101,2023-05-30 23:42:20+00:00,xrisdiyantox,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
102,2023-05-30 23:42:18+00:00,adibssiraj,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
103,2023-05-30 23:42:15+00:00,jk_thv75,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
104,2023-05-30 23:41:58+00:00,kimihsanmuri,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
105,2023-05-30 23:41:50+00:00,6ikhtiar,"RT @AndiSinulingga: 2014 kita dukung Jokowi mah biasa aja, tak ada yg krusial, itu game biasa saja. Rakyat sudah beri kepercayaan 2 kali, y…"
106,2023-05-30 23:41:31+00:00,oryjone,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
107,2023-05-30 23:41:25+00:00,Mie_Goyeng,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
108,2023-05-30 23:41:19+00:00,6ikhtiar,"RT @KompasTV: Jokowi: Pilpres 2024 Krusial, Saya Cawe-cawe Tidak akan Netral

https://t.co/ziFk0yebdG"
109,2023-05-30 23:40:59+00:00,WiyonoHw,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
110,2023-05-30 23:40:35+00:00,yudisupria,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
111,2023-05-30 23:40:19+00:00,GalihGieloof,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
112,2023-05-30 23:40:01+00:00,Kalisat3,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
113,2023-05-30 23:39:56+00:00,darmajasa,RT @Naz_lira: Strategi politik memoles citra Gibran memang sudah diploting sejak pelantikan menjadi walikota Solo 2021 untuk tujuan Jurkam…
114,2023-05-30 23:39:10+00:00,ridwanudin_,RT @Naz_lira: Strategi politik memoles citra Gibran memang sudah diploting sejak pelantikan menjadi walikota Solo 2021 untuk tujuan Jurkam…
115,2023-05-30 23:39:08+00:00,eherryani,"RT @marlina_idha: Denny Indrayana: Anies Akan Gagal Maju di Pilpres 2024, Bila MA Menangkan PK Moeldoko ke Demokrat

Segala cara!🙄 https://…"
116,2023-05-30 23:38:40+00:00,adihidaayat,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
117,2023-05-30 23:38:31+00:00,RahmatLaba9,"RT @JarnasABWBpn: Harapan Anies Baswedan untuk Pilpres dan Pemilu 2024 ini ❤️

Kami yakin semua warga negara Indonesia yang baik akan mendu…"
118,2023-05-30 23:38:21+00:00,njsusilo,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
119,2023-05-30 23:38:17+00:00,Andree_Anggono,"RT @KompasTV: Jokowi: Pilpres 2024 Krusial, Saya Cawe-cawe Tidak akan Netral

https://t.co/ziFk0yebdG"
120,2023-05-30 23:38:16+00:00,JanganJadiPaok,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
121,2023-05-30 23:37:53+00:00,DarkJustice07,"RT @KompasTV: Denny Indrayana: Anies Akan Gagal Maju di Pilpres 2024, Bila MA Menangkan PK Moeldoko ke Demokrat https://t.co/EtJRN6pb60"
122,2023-05-30 23:37:52+00:00,Muis____,"RT @KompasTV: Jokowi: Pilpres 2024 Krusial, Saya Cawe-cawe Tidak akan Netral https://t.co/zF9hY5X7iF"
123,2023-05-30 23:37:48+00:00,udin_cocopeat,RT @Naz_lira: Strategi politik memoles citra Gibran memang sudah diploting sejak pelantikan menjadi walikota Solo 2021 untuk tujuan Jurkam…
124,2023-05-30 23:37:36+00:00,Bahbahhairil,"RT @kurusetra91: Jokowi yth, ap tdk lbh bgus anda ntral, biarkan rakyat yg mmilih ssuai keinginan mrk ?! anda ktakutan sndri ats dosa, ksal…"
125,2023-05-30 23:37:32+00:00,jamal83407918,"RT @AndiSinulingga: 2014 kita dukung Jokowi mah biasa aja, tak ada yg krusial, itu game biasa saja. Rakyat sudah beri kepercayaan 2 kali, y…"
126,2023-05-30 23:37:29+00:00,eherryani,"RT @kurusetra91: Jokowi yth, ap tdk lbh bgus anda ntral, biarkan rakyat yg mmilih ssuai keinginan mrk ?! anda ktakutan sndri ats dosa, ksal…"
127,2023-05-30 23:37:12+00:00,hragusharyanto,"RT @tvOneNews: Gaji PNS Naik Jelang Pilpres 2024, Pengamat Nilai Langkah Jokowi Sangat Kental Bermuatan Politik https://t.co/Oa7Zi1QmOl"
128,2023-05-30 23:37:10+00:00,giginpraginanto,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
