,usename,count
4414,IDCorner,14
4415,Bashudewa22,1
4416,AgustiHilary,2
4417,ales_arema,1
4418,Secangk24549424,3
4419,LamanRiauCom,5
4420,Andi65416385,2
4421,Beatmas007,1
4422,dinilatifah1110,1
4423,EricRicaldo,2
4424,LangitZaman,4
4425,kennymiles72,1
4426,desita5769,2
4427,AndiMardan_,9
4428,dpc_kotamobagu,1
4429,anjas_mokoginta,3
4430,JokoVVidodo,3
4431,PERSIBPRIDE1933,1
4432,Santosopermana1,1
4433,B112D1,1
4434,hanney130172,3
4435,Gede_86,1
4436,chanwkwk,1
4437,arli_ap,1
4438,muhamaddaudabd3,3
4439,andi_sudarman19,1
4440,nugrohhoy,1
4441,Holahalohai_,1
4442,ElysElys7,11
4443,ArifSaleh,13
4444,JenarutKanisius,1
4445,BawasluPurwkrta,1
4446,RasyidAbdul321,1
4447,374n6,1
4448,taktik_tok,1
4449,Rahadian83,1
4450,rmiryanti,13
4451,bakri_kanimanda,2
4452,dpwpkbdiy,19
4453,ZettaZahra2,10
4454,dharpompi,2
4455,rhyss001,1
4456,dunantupang,1
4457,barubuton,5
4458,Lakhca_R1,3
4459,Sutarno90739398,5
4460,februarywin_,1
4461,fornas_id,2
4462,Lukmanharijant1,1
4463,PRABU_KLITI,2
4464,RobbiSiswanto,1
4465,Hodaripodcast,2
4466,Penjagajokowi1,6
4467,eneng_19,11
4468,EniTriashafira,1
4469,gombal_tenan,1
4470,DeckyYM,1
4471,hazbyihsany,1
4472,BeritaTerkinii,2
4473,DamaiTanpa,5
4474,ediwahy70363687,1
4475,koern373,1
4476,maderiawan,1
4477,langkatodaycom,2
4478,CombrangP,1
4479,FaharuddinIbra1,1
4480,BarisanOpOsisi,4
4481,_wthoutanme,1
4482,dahcapeganemu1,1
4483,9164Wahyu,16
4484,HudSuharg,3
4485,YanitaUtamaFC,2
4486,AmandaIhsanudd1,2
4487,famajiid,1
4488,CeritaquIndah,10
4489,kabpelalawan1,1
4490,SumutposO,1
4491,ArjoenM,1
4492,indoposco,9
4493,McKayo_68,4
4494,NcangBeni,1
4495,Silverc56333937,1
4496,AntiBangsatBgs,4
4497,CHECKinSOLO,1
4498,daga_anselmus,1
4499,DoeloeDen,1
4500,AkuAtikaFaya,6
4501,PondangSinaga2,1
4502,SitomSi,3
4503,wam_mooda,1
4504,adykriesna,1
4505,AbahDeon,23
4506,ishtagita,1
4507,Teguh78004040,1
4508,MangUdin70,3
4509,TIRANISAKIT,8
4510,agustina_nalu,1
4511,gerindrapemala1,1
4512,rasyidahimut,1
4513,teguhsd,2
4514,beritasulselcom,2
4515,PutraAka2,10
4516,AhmadTa36011147,1
4517,anggrenitansit2,3
4518,Leonita_Lestari,23
4519,drotajemp,1
4520,cgtrisanjaya,8
4521,budiartony18,2
4522,Panwastirtoyudo,1
4523,Masjonophoto,1
4524,Detiksumsel_,3
4525,waisdong_ah,4
4526,radartangsel_,10
4527,fafaail,1
4528,SMARTPEOPLE_313,1
4529,MAliArief,1
4530,herman_priyatna,2
4531,ivindyaja,1
4532,wellymerukh,8
4533,fachtul_bachry,3
4534,kabarsleman,1
4535,kbrkalimantan1,8
4536,Tamisunt,1
4537,dpcgerindraabar,1
4538,bambangBENO,1
4539,idnjaya89,24
4540,kami_Indon3si4,1
4541,Tan_Mar3M,3
4542,maximillian2008,2
4543,RakyatdanJokowi,1
4544,three_doyo,1
4545,lebihbaiksaja,6
4546,charliesianipar,5
4547,sastro_pecel,1
4548,putrisakera,8
4549,itarizukaa,1
4550,nolantv_viral,10
4551,Saraskund11,1
4552,Papatia9,1
4553,falah_mis,1
4554,heru_hasnul,1
4555,Paijo33295845,2
4556,BdgTimurOnline,3
4557,CakMartinez,11
4558,aburizalbakrie,2
4559,GaTypoLagi,3
4560,denny_jacobus,1
4561,sardi_sartono,4
4562,mcl_pealows,1
4563,BoymauMuhammad,2
4564,ar_hman,3
4565,YanHarahap,10
4566,PeloporMedia,3
4567,Romi394291221,1
4568,ay_ayyhhhh24,1
4569,AhmadLauhil,2
4570,BERITAKINI_CO,3
4571,GobezMia,1
4572,HidayatHafied3,6
4573,EllaVerella,1
4574,TribunLombokcom,8
4575,OiChoirul,2
4576,Iwan52333552,2
4577,rrhmndd,1
4578,kabargolkarnews,33
4579,life4cuan,1
4580,poskotanetwork,62
4581,Dafitnr10,2
4582,heryantogpx88,2
4583,mlakutok,1
4584,AbuZamzamm,3
4585,Tribun_Bogor,20
4586,firmansyah08778,9
4587,z___vyi,1
4588,sulemarbun,2
4589,HendriosB,2
4590,utamanewscom,10
4591,DubesWakanda,1
4592,FeraniRikzan,1
4593,Sahabat_Bangsa,4
4594,kritikusdodol,2
4595,Berita_TU,2
4596,hardrockfm,1
4597,ibn_sjamsu,3
4598,suwardi_mth,1
4599,And12Luqman,7
4600,oranghuman12,1
4601,Sarbiil4,1
4602,FeryDermawannn,1
4603,SahabatOSCO,1
4604,SaifulP13119030,1
4605,Ayunda_pt,1
4606,cegi_feby,5
4607,hapekayu,1
4608,gourcuff020,1
4609,apocalypsoblitz,5
4610,novelaliranbaru,1
4611,Rudatin7,4
4612,padremoral,1
4613,zarazettirazr,19
4614,studiyanto,4
4615,RGoenardy,6
4616,AyuDhini5,1
4617,Kulitbawang4,1
4618,PasamanPd,4
4619,AntonLadjar2,1
4620,tagarabak,1
4621,zonjonggol,1
4622,tawali9999,5
4623,mediaseleb,5
4624,riefz12,3
4625,Syahreza_Bin,9
4626,AgungHaryono_1,1
4627,aariefboediman,27
4628,as16067013,6
4629,6e04712a33a6474,1
4630,RashidMuchtar,5
4631,Berdikarism_,3
4632,mflazuardiii,1
4633,ridwan_banjari,3
4634,sahabat_rb,1
4635,kerambir18,1
4636,adytracker,1
4637,siswae04,1
4638,Showerme41,3
4639,Hantoro2011,9
4640,ivankavalera,5
4641,HendiUnpad74,5
4642,amexsiregar89,1
4643,sig4rpenjalin,1
4644,guisejae,1
4645,urhome69,1
4646,Samhuri19,2
4647,AimerePhilip,1
4648,wurdianto,1
4649,2020Berita,2
4650,Safeguardindo1,9
4651,geliatnegeri,14
4652,SetiadySiregar,1
4653,Edymaull,10
4654,ahmadmfauzi1,1
4655,aguskuswanto151,4
4656,radar_semarang,12
4657,Galung_gung,1
4658,sebelpuyeng,4
4659,OliaLaviza,16
4660,polsek_sragen,1
4661,SragenIDNEWS,3
4662,IaNopret,2
4663,wu_toro,1
4664,RyanKamil5,9
4665,AqiaqiH,3
4666,ThaisaBiancchin,1
4667,bakomstrasulsel,19
4668,Bansul2,35
4669,newsposkeadilan,1
4670,anang_umar,3
4671,DemokratE2L,27
4672,HironimusSenda,1
4673,marlina_idha,13
4674,RizyahD,21
4675,polres_sragen_,1
4676,onmaweee,2
4677,Syaiful14742,4
4678,PSI_Bali,1
4679,AndiPitopang7,1
4680,jongkok1111,1
4681,pipit_kagome,1
4682,MohammadAidi_,13
4683,garudatvnews,16
4684,FebiolaNsa,1
4685,NajmuddinRasul1,5
4686,TimelineIndone2,2
4687,ZidWorld_,16
4688,HalfianiWaode,2
4689,AndreasBayuSapu,2
4690,PolsekWonosari1,1
4691,Fery_setu,2
4692,DemokratSergai,1
4693,jusman_busel,1
4694,indoprogress,5
4695,baiquelah,4
4696,anda_refli,2
4697,news_pantau,16
4698,tonysugiantono,3
4699,priyayi_ndeso,2
4700,ademanan,1
4701,FansTengkuzul,1
4702,imadlabmed,1
4703,petasanrentet,1
4704,PKSJaksel,3
4705,Ajo_89,1
4706,rustrijateng,4
4707,IniSleman,1
4708,maznalend,1
4709,saornaing,3
4710,snsutan1,3
4711,katakinidotcom,27
4712,MasBroJowoNKRI,2
4713,BerhituLiza,1
4714,nolantv_berita,31
4715,InfoNusantaraID,2
4716,Jimmy28380540,2
4717,Aja8Item,1
4718,KabarJurnalkita,1
4719,edvilsonjunior,1
4720,RAbdinyo,11
4721,wjtodaycom,14
4722,nurak_silvester,1
4723,andryjuga,1
4724,PoldaJogja,2
4725,StSumardin,1
4726,aslir_sadat,4
4727,Welsh_Go,1
4728,vnkzure,1
4729,info_sleman,1
4730,Fr4nst,7
4731,LidiaLomy,1
4732,badillaonline,3
4733,ki_cakrasurya,4
4734,Dwi44576948,1
4735,KangMaman204,16
4736,hell_atenk7,2
4737,didienAZHAR,13
4738,liberaindo,3
4739,ulliesantos,1
4740,EksisSosmed,1
4741,IntanAlexandr4,3
4742,medydixie,2
4743,kilik_panji,1
4744,am22022022,1
4745,anthemnational1,1
4746,Skyfallok,1
4747,MOTION975FM,1
4748,EddieFisher_id,2
4749,BenLiberty6,3
4750,SatujuangC,2
4751,WartaNusaId,16
4752,wholaflame,1
4753,Adhirizkyputra,1
4754,sudira_h,1
4755,may_marwan,1
4756,GardaBangsa16,2
4757,LawJustice0,1
4758,kikoenakdek,1
4759,SarahYuniani,1
4760,cokro_tv,5
4761,abujiha92022215,1
4762,Ahmad37409875,1
4763,fransiskusjurin,1
4764,SyukurGea12,3
4765,ID_Albiceleste,1
4766,abdrahmansyam4,1
4767,immpos,1
4768,assemblerAVR,2
4769,Hirasa_3,1
4770,de_folder,12
4771,InforiauCo,10
4772,yous_hendra,1
4773,HarizalTio,1
4774,tokohpolitiku,1
4775,PDemokrat_Pas,9
4776,YuliaRay5,1
4777,HazeeqElBth,2
4778,iju141,5
4779,LingkarMediane5,5
4780,chatnews_id,9
4781,SukaPutus,2
4782,yuana_JOEKUR,2
4783,HaluanRiau_,1
4784,boechan231,2
4785,mmtcradiojogja,1
4786,abdulmanan,1
4787,nusawaradotcom,1
4788,__Sarilembu,1
4789,imam_rachman_,2
4790,cuanXi4,1
4791,NarasiNewsroom,13
4792,ICandrakanti,1
4793,SisFebriana,1
4794,ArisPunari,1
4795,midasbuy_id,1
4796,OurKarim,1
4797,sarphanjamain1,5
4798,s_ucikk,1
4799,mazrieva,2
4800,ChoirunnisaAy10,1
4801,GustWayan,1
4802,dirmanjp1,1
4803,yudia_fani,1
4804,suarabatavia,1
4805,Arni_Girsang,1
4806,tendabesar,5
4807,kaharmustafa79,1
4808,NguztadCabulz69,1
4809,iccasarifien,2
4810,KartumerahNews,67
4811,pesonalami,2
4812,ince_odel,1
4813,BiruScooter,6
4814,kla10_,5
4815,Fahri_alfirza,1
4816,arixxworld,1
4817,5unsur_top,6
4818,cakranewsonline,4
4819,gwhaybro,2
4820,bebeksolo,2
4821,LampungPress,1
4822,ArmaZulfikar,2
4823,bisalumpat,1
4824,hisapm66,1
4825,inidataid_,2
4826,BijiPot,1
4827,Firman03092395D,8
4828,israwalecho,1
4829,RK_JabarJuara,24
4830,8_FERRY_8,1
4831,Fajar_Mula,1
4832,legionofgerasen,1
4833,MansurU71169345,3
4834,MustahidAnis,1
4835,Muchyasin8,9
4836,opposite6892,14
4837,onomsalam2pas,43
4838,polsight,7
4839,NgkongRoses,3
4840,budigar,1
4841,Wahyudi1707,2
4842,lek_brewok,1
4843,tigadewamania,2
4844,Bakomstraokut,1
4845,AMP_Stories,2
4846,andrisafrizal1,2
4847,Sagita_Star,56
4848,fery3738,1
4849,azizah2403,1
4850,OlaAdonara,2
4851,AbimayuHadiyata,1
4852,sensus_888,2
4853,DonCrondol,1
4854,garawangi60,1
4855,sarahyuar,1
4856,caniazhar590,1
4857,SuhairiAmril,1
4858,amandaysyfa_,7
4859,ApriliaLin,7
4860,catchmeupid,6
4861,edtjxxx,1
4862,Youaresaltyaf,1
4863,NurulRiani6,21
4864,Ericksemaunya,3
4865,farda_sanberra,33
4866,benzpenganggur1,19
4867,osamie1760,4
4868,indrahwk,4
4869,denismalhotra,2
4870,saimaminhaz,4
4871,Ayatullahkhum20,1
4872,suaraankri,1
4873,ErvyaVinny,1
4874,Fadlipenyair,6
4875,irfan1609,1
4876,didinsh_Energy,1
4877,SuaraRepublik62,6
4878,gunawan_s79,3
4879,ZahrilLabung,2
4880,JPrabavany,1
4881,uunk89,1
4882,ZMannaroy,18
4883,mojokdotco,8
4884,PrabowoGanjaris,3
4885,Ahmadwafqi1,1
4886,jekowagiman,1
4887,cheetos95,1
4888,bobbyansyari,1
4889,ChristopWilliam,2
4890,MataTelinga,2
4891,erwinsyahbudi,2
4892,AgastyaNgegas,5
4893,raewarded,1
4894,herryybunta,5
4895,TitipanIllahi44,4
4896,JamhurJamhur2,1
4897,darmantompul,6
4898,dharmayd1,1
4899,enop_ancha,9
4900,gundalaRI,2
4901,hamka_rizal,1
4902,NasDe_Maybrat,1
4903,Jhony_1011,1
4904,inilahkorancom,14
4905,Duntzrawk,2
4906,AgustuzEdi881,1
4907,PutraMahes59,1
4908,GSubatin,1
4909,panggung2024,2
4910,Yenithung1,15
4911,Jokobro85,2
4912,IpanMorris,2
4913,ganjangberita,1
4914,Rulipas2,1
4915,AliyahWsb,3
4916,MTour000,1
4917,tigormunte,3
4918,Kanal_Samo,5
4919,amusyarbini,1
4920,azwarsiregar,13
4921,Herysangsang1,4
4922,ayufat1,4
4923,dyksreg,1
4924,wisataajaa,2
4925,YulieGunawan4,3
4926,HaryPujianto1,1
4927,geetracker,1
4928,jatmiko87355312,1
4929,wasissas,1
4930,Caktweetjustice,3
4931,Sa1Santoso,4
4932,sirajudin_hory,2
4933,pak_lambe,1
4934,MandeyMarlon,1
4935,merysusii,1
4936,Bunga48597162,2
4937,0day_ID,12
4938,InilahId,2
4939,lianperak,1
4940,AbdeeProklamasi,2
4941,dkfein,1
4942,sahabatodie,4
4943,Lind_Rachmawati,4
4944,adrieltheodore,1
4945,iwaniswan,8
4946,AlFrikii,8
4947,siKirun,2
4948,zenadailham,1
4949,ikbalrasyid1gm1,2
4950,noelrusmana99,1
4951,DjokoRetnadi,30
4952,vivayogamauladi,26
4953,skybenar,1
4954,timlovers,10
4955,kabartimlo,10
4956,HeriiSetiadi,1
4957,combro0779,5
4958,Prakarsa99Willy,3
4959,rubyaja1,11
4960,wynorusia20,1
4961,duaribu_24,1
4962,starchess_tarno,1
4963,KartiniTv,1
4964,guidottiamoy,8
4965,Suwiryo70207715,1
4966,Hecate303,2
4967,Siantar72,4
4968,YopanFalera,1
4969,eriantohasibuan,2
4970,dachyarpatria,6
4971,nagadaul,1
4972,mediabersuara,1
4973,iskandarplenet,1
4974,dabenone2,17
4975,Rosyid_Alfatih,1
4976,andyinisial_D,1
4977,rabbani_rasydan,1
4978,HimalayaRyan,1
4979,hendrikk168,23
4980,Hadi_Jaha,1
4981,Adhit_1909,2
4982,jaemcityonz,1
4983,Vigriawan_van,6
4984,Herny59734990,1
4985,FrankyTts,4
4986,awe_yudhy,1
4987,kwangya2021,1
4988,wisanggeni2022,1
4989,Alexander_Indo,1
4990,ParsSinaga,3
4991,berita_jabarku,1
4992,MARV3LLL,17
4993,mascacak,2
4994,NikmatHangat,1
4995,robowarriorsX,2
4996,EN538474N6,2
4997,Polsekmedankot1,1
4998,MaduraExpose,5
4999,KahmiJu,8
5000,LismaSeptiani3,1
5001,BennyJo19,7
5002,_Goentoer_,5
5003,AniJihada,2
5004,MuhMufid9,1
5005,Bakhjatul,5
5006,AriefGka,9
5007,yesy_febriyati,1
5008,edjaku,1
5009,Lujatini,1
5010,yanto_sugix,1
5011,agusujana1,1
5012,Sgrdamai,6
5013,Passolle_5,1
5014,Reborn21s,3
5015,YoungGunbilly,1
5016,cepejait,1
5017,arinto_aaw,1
5018,Ray37569774,1
5019,bilalnovanzah,1
5020,orde_perubahan,1
5021,AgusMalang7,2
5022,Kabarhariini,2
5023,Kodim_0503JB,1
5024,pahpahri,1
5025,paulbudic57,1
5026,IkhyarV,1
5027,mulyanam8,1
5028,Mamiek38123923,1
5029,Cimporongbalau1,1
5030,cahdwibud,2
5031,SuaraBangsa1,2
5032,i_oneprast,2
5033,klndraldev,1
5034,welfareidonline,2
5035,chairulachir,1
5036,pututpranoto1,4
5037,AbankTho2,3
5038,BattoAjax,4
5039,MaulaIkhwan,1
5040,Jumadikun64,8
5041,MIrvanDarwin1,4
5042,FZangka,1
5043,MudjimanAgus,1
5044,moesa_jp02,35
5045,TerunaPertiwi,3
5046,riaunewsmedia,3
5047,eRS_AREMA021,11
5048,Hari31192675,1
5049,roysdewanto,1
5050,Galileo32429415,1
5051,SuwondoTitus,2
5052,rakyatmerdeka,39
5053,__SudutPandang,3
5054,jamaludinaboka,1
5055,BurhanYamin,1
5056,siagianamri55,1
5057,ayaharno,2
5058,IND_MAJU,5
5059,Maz_Fath,1
5060,is_pelssy,14
5061,siber_detak24,5
5062,kasito17,19
5063,T_Irham,9
5064,yanderuderedere,1
5065,detikindonesia7,12
5066,aksesdisini_com,38
5067,regar_0p0sisi,1
5068,KursiRakyat_com,4
5069,memontum_online,3
5070,angkawijayaadii,1
5071,Ariiq39638088,4
5072,aayudhap,1
5073,MochRomansa,1
5074,AbrSamad,2
5075,MODUSACEH,14
5076,williamvcj,2
5077,kabarhit,1
5078,IbnuWijatmoko,2
5079,kielrasw,1
5080,Miftahu52796598,1
5081,justinfogarut,18
5082,fmuchtar_,2
5083,Apri_yand,1
5084,Cembok1,2
5085,cnbcindonesia,8
5086,PasunaHendri,1
5087,negerilaspela,2
5088,maksumharits,1
5089,a_fikrinur,1
5090,akabelen444,2
5091,NatanaelPakpa10,6
5092,Junjung39514131,1
5093,Bambang07700762,8
5094,ApihDiding,1
5095,GoendoengP,4
5096,ferdyskywalker,1
5097,ilhamflow,1
5098,RONNYROSADY4,3
5099,ferdymad,1
5100,RidwanRidwan6,1
5101,PiusSinurat,1
5102,kangerryudha,1
5103,AnangS48648467,7
5104,RotiYanto,1
5105,RamsesXIIII,1
5106,IskandarPts,1
5107,aguspurnomo444,2
5108,Jeza74422125,3
5109,AriefBudimanah1,1
5110,0125Satya,1
5111,MargarethaFia,1
5112,gilnotgeel,1
5113,har_sutrisno,1
5114,anisha_sari2,2
5115,sheva_sheva8,4
5116,Mr_ARoGan_,2
5117,shasgieh,1
5118,aswinsuharsono,1
5119,AyamSegar3,1
5120,DwiSaptaHadi17,1
5121,Joker66042744,1
5122,etroperscisaat,2
5123,Fadly799,1
5124,BoyJackMania_I,2
5125,Basukirahmat70,1
5126,SSentono,1
5127,gimananihya,2
5128,UsodoWiro,2
5129,nursam_muhammad,1
5130,s_mulyatie,1
5131,AliciaPrayolaCa,1
5132,AngeliaVegaNuru,1
5133,AnisaRahmayani2,3
5134,EAndantino,1
5135,0189Fadil,3
5136,husnimubarakid,1
5137,rokok_indonesia,1
5138,gagas_agem,1
5139,HuriMfana,1
5140,RoRimy_Setiawan,3
5141,TawaliliIhram,1
5142,changgoroo,2
5143,ini_yayat,1
5144,jmelive,1
5145,Sudirma00717052,2
5146,muslim_zone,3
5147,bimowisaksono,1
5148,Kepeeen,1
5149,EDHARIS3,6
5150,prasetya2233,7
5151,ConanNKRI,17
5152,ellameilia,1
5153,scamande12,1
5154,dasaagustus88,1
5155,koecing_pasar,3
5156,z14n5,1
5157,75_erna,1
5158,Anaklabuhanbatu,15
5159,disinisadat,2
5160,MenNet_RI,2
5161,Xela62000502,1
5162,abdabbad,4
5163,luhutgultom1,1
5164,Mentari48586378,8
5165,Rizieq_Sangean,1
5166,edy_01311,1
5167,phejabat,1
5168,yuwantino12,2
5169,muhamadsaifi,1
5170,amelliaaa_you,1
5171,kingsman6666,2
5172,BATMAN85749464,1
5173,AlayBerisik,2
5174,dawzon_jack,2
5175,SemestaBicara11,2
5176,AlexanderGantos,2
5177,hikenMiners,1
5178,AdventuresYudhi,1
5179,Real_AdhiDompu,10
5180,kang_jamaludin7,1
5181,Jatengpostcom,10
5182,eleven_light,1
5183,gabriel_mally,2
5184,rickynelsima,1
5185,regarpauls,4
5186,Tukang_sultan,3
5187,farizev,1
5188,7nagaO3MT3,1
5189,KompasEkonomi,2
5190,TheUncleDee,2
5191,Zahary5Achmad,8
5192,SasukeArya2022,1
5193,Darmawan_bs,1
5194,kumpulanjogja,3
5195,BBerizik,3
5196,mrkadarusman,1
5197,rebahandulullah,1
5198,tamartamsil,7
5199,cahyadimania,1
5200,Pancasilaku45,2
5201,camilajenie,3
5202,BadrudinAlaena1,1
5203,TataSweety25,1
5204,MASBUDHISOLO,2
5205,Usman_Arsyad,1
5206,gyejumin,1
5207,PetaniGadungan,1
5208,eddinzaky,1
5209,miko_ceproth,1
5210,wibissono,36
5211,AnakGadang10,2
5212,Tiyofoto,2
5213,Ama_xxii,2
5214,DanSupar,1
5215,BudiIdk2,1
5216,RopiPerdana,1
5217,Fraksi_Gerindra,79
5218,JariSamurai,1
5219,Skyiton2,1
5220,maulana_roesli,1
5221,Mas_Say_Fh,7
5222,netrayID,6
5223,benzlife888,1
5224,futurescome,1
5225,ImanTangankanan,3
5226,AParulianS1,3
5227,BapaEnte,1
5228,Karel02057679,1
5229,washeeeps,1
5230,StudioCantaloop,1
5231,AyuniIntana,10
5232,AutorayaTv,4
5233,2Mikeadamhalik,2
5234,Adhitia_Pratham,6
5235,arsilanida14,1
5236,MieAyam87409305,1
5237,UtamiiiAulia,14
5238,bungaflow8,1
5239,Semleho84014268,1
5240,orderseblak,1
5241,nenggelisq,1
5242,Smartpipel01,1
5243,zenny_sa,3
5244,quoryyy,1
5245,RachmatLubis2,2
5246,gamaliel2223,1
5247,mrpain38487343,1
5248,2019JokowiLNJT,1
5249,victorpangkey,3
5250,mulyadi2028,4
5251,blankbanget,5
5252,Julhan_Htbarat,1
5253,Dodo87314670,2
5254,AsepToh85669044,1
5255,iknnewsantara,1
5256,Batax_Nasional,21
5257,SoryRidhuwan,1
5258,innercorn,1
5259,AndhikaHutama2,7
5260,makganjar_ntt,1
5261,joonfa612,1
5262,JatimKonten,13
5263,Bias_suara,25
5264,PemilihJ,7
5265,Wawan_74,3
5266,andibomskiu,1
5267,Hagyugyu1,1
5268,KhinjarHitam,2
5269,PujanggaSangpu,8
5270,Senopati_SI,1
5271,KoraagGerald,1
5272,ayahsadzy,1
5273,Gun_gun999,2
5274,InfoSeriyes,3
5275,Fendythahir,1
5276,tarigan_halim,1
5277,kolmejiku,1
5278,BungasJanda,6
5279,HambaAllah_411,1
5280,bento15068118,2
5281,FaigiziduhuNdr5,3
5282,netizenkritis51,3
5283,YohanessssW,1
5284,IWANRUDIYANTO9,1
5285,HalimRudianto,5
5286,gaiska_official,1
5287,KrisyantoOni,9
5288,anggineerin,15
5289,sbr1310,3
5290,sarahapriliant,4
5291,UkiSanukri4,5
5292,LanangSudira1,42
5293,Yattie2022,1
5294,machineheadz,2
5295,KelSamawa,65
5296,ririfintt,1
5297,ivanasilo1,2
5298,Biro_Blora,1
5299,jgngelamun,2
5300,TanteMardance,1
5301,_jejakkita,1
5302,SiNopal06,1
5303,toServetoGive,2
5304,aasraanu,1
5305,AdeFauzyAhmad,5
5306,BryokAceh,2
5307,Sofian42143091,5
5308,Youmuni1,2
5309,IsidorusArwan3,1
5310,KayanaDuris,1
5311,hurun0384,2
5312,AhmadHartawan17,1
5313,Rike11669712,2
5314,newsmerahputih,70
5315,Tendi79658467,1
5316,rikaretno27,5
5317,Aricha86393318,2
5318,Kesyaaa91670651,3
5319,Elinaayuu,1
5320,aci69375329,1
5321,noldi1987,3
5322,FatinZazkia,1
5323,himatekjuan,1
5324,ssakitjwaa,1
5325,Rasyakiandra,4
5326,GerryKateee,4
5327,Nopipit10,1
5328,M4ry_hann4h,1
5329,fersdioZezeii,1
5330,haxiradina,1
5331,Jraygin,1
5332,Fifian06927896,1
5333,gbsgnnih,2
5334,Suara_sumedang,9
5335,Konokui1,1
5336,TChumazah,1
5337,Safato_SFR,10
5338,Indririsnawatii,6
5339,Infoenamdua,4
5340,AlimMaktour,4
5341,Aldifrmnt_98,1
5342,DediMardiana12,1
5343,genkleo87,1
5344,JokowiHokage,1
5345,arunika293,1
5346,pejuangnkri77,13
5347,cecha76,1
5348,gerindra_kabpkl,1
5349,tribunpontianak,18
5350,MansyurPardan,2
5351,MacbookHafid,2
5352,SafitriFit8,2
5353,LeonardDavinc20,2
5354,fr_rudin,2
5355,mediakonteks,4
5356,mc_themikey,1
5357,FitFerry,1
5358,heywalikota,1
5359,catokanlurus,1
5360,SyahidiArifin2,1
5361,Tribun_Solo,21
5362,JakaReinkarnas1,1
5363,aal93378729,1
5364,Af1V4H,3
5365,BlackSoulAsylum,4
5366,ChakrawalaS,11
5367,SinatraGinting,1
5368,Bung_CengKho,2
5369,fandi_sanjaya94,1
5370,datanesia_id,7
5371,IsmanMustofa7,2
5372,NurkholisMakki,1
5373,SangPejuank,5
5374,tmo68175863,8
5375,PartaiSocmed,8
5376,ekosnrd,4
5377,HardjonoF,5
5378,f_fathur,5
5379,KAPITANBESAR,3
5380,sparkiee70,3
5381,AR_Wiran6,1
5382,bekilapan,9
5383,Ijal238,1
5384,Iyal90431410,1
5385,J_Amalo,1
5386,monitorindo,84
5387,yudimeno,1
5388,Komodo_jogging,2
5389,an_patti,1
5390,MalangAlif,1
5391,M45Broo,11
5392,sultanandara_,1
5393,NuriSah89275843,1
5394,Marya9Judy,1
5395,luluskuliahS2,1
5396,nagiseisiro,1
5397,ArdiyogoNogoro,3
5398,cesampez,1
5399,Nurullah_hm,1
5400,ridhowimutaqo,3
5401,OktavianusYahy1,6
5402,JiaoSwei,1
5403,kentella912,1
5404,Bams_666,2
5405,Mustafa05712522,4
5406,FranzenPutra,1
5407,Mulyadi46526716,1
5408,KangTaufiqNew1,2
5409,Suanggi_Hitam,5
5410,antonwijanarko_,4
5411,hanggonomurtopo,8
5412,Asaatoe,2
5413,ruwednesia,7
5414,m_rahantan,3
5415,tianraditya,2
5416,Jackypuswari2,3
5417,CitraNetwork,4
5418,RendroSunarjono,1
5419,ahmadaffandy143,1
5420,devy_jwuisan,1
5421,Sitanjung12,1
5422,vika_humairoh,2
5423,fckr4v,1
5424,SaukatRifki,1
5425,Ande__Loemoet,1
5426,indWUrajaya,2
5427,demokrat_hsu,1
5428,tamrintomagola,4
5429,Linatsub,1
5430,adi_marz07,1
5431,Arl438999,1
5432,Baggoes13,1
5433,mybenoq,4
5434,lan042592gmail1,3
5435,AlMawardin7,5
5436,mhd76611198,1
5437,satnil1,3
5438,Kilat_com,10
5439,emadhan,1
5440,Kkr9o4hKm4ivShj,1
5441,wargagotham,3
5442,ekoputr53546394,2
5443,mhdaldi21,1
5444,tahugeprek21,1
5445,angelNtara,2
5446,giribatjo56,2
5447,sangpemberani20,3
5448,IvanZam75702781,3
5449,mahmud_rezki,3
5450,Restiana01,3
5451,Pejalansuny1,3
5452,melati_senja16,3
5453,Wahyuku92681994,4
5454,rezkimahmud2,3
5455,rayhanzhanl7,1
5456,selidikidotcom,3
5457,langits23403811,3
5458,rezkimahmud1,3
5459,Rayhanlubis9,1
5460,rayhanhafizhan4,1
5461,RobyBangun1,3
5462,BarlinParlindu1,3
5463,IstantoAr,1
5464,ArArosokhi1,1
5465,AdibaShaqila4,3
5466,GibranNaufalRi2,3
5467,ArosokhiA,2
5468,sri_solin,3
5469,438ArsArosokhi,1
5470,irwan080206,1
5471,Gedangggg1,3
5472,braystft,3
5473,godsssang,3
5474,kurawa,7
5475,neysile,3
5476,ccaesarsaladd,1
5477,sebasukesi,3
5478,mediabanten,1
5479,warenk71853443,2
5480,fuji12435754,1
5481,Holysiregar,1
5482,maharanasution,3
5483,SelmaKarami7,3
5484,FarhanTanjung19,3
5485,FPD_DPR,3
5486,jkt_try,1
5487,Keylanan12,3
5488,uranuss431,3
5489,yuniantosaja,2
5490,TeknokratJawa,2
5491,Rickyyys22,2
5492,Sukahujan07,3
5493,Riaarjiani,14
5494,Ridhooo64917097,3
5495,CilDeol,3
5496,areaulasan,3
5497,Zubaida94524835,3
5498,kacamg_k,3
5499,JarrFajarr_,22
5500,Choconiss1,3
5501,TehTolor,3
5502,zakigibran9,3
5503,Irwanraga7,1
5504,ardy_onggo,1
