,date,username,tweet
149,2023-05-30 14:38:33+00:00,There91194264,rt suara rakyat anies baswedan pilpres
150,2023-05-30 14:38:05+00:00,BinSukirno,assalamualaikum warahmatullahi wabarakatuhu moga anies rasyid baswedan gandeng ahy
151,2023-05-30 14:36:29+00:00,hi_ikan_peda,kakak bina suruh nyerang pdip ganjar harinih buzzer anak kemaren sore ma
152,2023-05-30 14:32:16+00:00,hi_ikan_peda,pilpres ente jelekin pdip ganjar jago lhu halu den
153,2023-05-30 14:30:24+00:00,khairu_rizal98,wee kades rombong misi nenek tsunade kait
154,2023-05-30 14:29:56+00:00,combro0779,ngapain panik org prnh reshuffle plate nyanyi nyanyi ani
156,2023-05-30 14:21:55+00:00,AdeSaung,katanyacawe cawe jokowi dorong prabowo dorong
161,2023-05-30 14:15:38+00:00,mario_delamo,direspond tweet gak gak
162,2023-05-30 14:12:06+00:00,ResLexan,barbar dukung ab narasi elektabilitas ab
163,2023-05-30 14:06:34+00:00,AndreasBayuSapu,usung ridwan kamil pilpres solusi partai golkar tingkat el
164,2023-05-30 14:06:31+00:00,AndreasBayuSapu,teliti indikator politik indonesia bawono kumoro saran partai golkar usung kader ridwan ka
167,2023-05-30 14:05:09+00:00,partai_bermoral,sy sesal coblos jokowi pilpres amp kalo sy tau jokowi tarik prabowo ment
168,2023-05-30 14:03:26+00:00,DILARANGMARAH,rt politik cawecawe jokowi jegal anies begal demokrat singkir megawati by faizal assegaf kritikusjokowi seca
169,2023-05-30 14:01:23+00:00,EkoPutr86520727,rt jgn ganjar jd wapresnya prabowo nggak papa soale kans menang prabo
171,2023-05-30 13:58:35+00:00,eliswija,cawecawe pilpres selamat ibukota nusantara proyekproyek mercusuar nirmanfaat
173,2023-05-30 13:55:39+00:00,Fhauzi911,cawapres damping ganjar pilpres
174,2023-05-30 13:53:40+00:00,hulkolorijo,kuat de
179,2023-05-30 13:51:12+00:00,Imrajula3,aneh pilpres negara wakanda calon elektabilitas tinggi le
182,2023-05-30 13:48:58+00:00,Zafianz1,kalimat yg netral pilpres duga
185,2023-05-30 13:48:25+00:00,igranstvmediaid,rt bang ga pilpres hilang narasi cebong kadrun bosen gua kalo politik isi git
188,2023-05-30 13:47:54+00:00,wiwin40718731,pilpres jokowi menang suara dr prabowo skrang anies prabowo rebuta
192,2023-05-30 13:47:21+00:00,Blackred262626,klo brutal pilpres amp arogan prabowo gw tetp gk prabowo jad
196,2023-05-30 13:45:21+00:00,eliswija,selesai presiden loh jokowi pan jabat sebage presiden aktif wkwkwkwkwk
219,2023-05-30 13:37:38+00:00,alexander_sakti,dukung yohanies pilpres selenggara dgn bru
221,2023-05-30 13:33:15+00:00,AndiammuliaPd,tolong netral milu cawe
223,2023-05-30 13:31:20+00:00,AchimUmagaf,mamamereka himpun das dasar usaha biaya parp
224,2023-05-30 13:30:54+00:00,NgaliMahfud,ubah kerdil dpr dampak buruk partisipasi pilih pileg pilp
